elapsed_s,total_listeners,sfu_cpu_m,sfu_mem_mi,restarts,panics
0,0,1,1,0,0
15,1000,12,8,0,0
30,1000,1107,152,0,0
45,1000,885,154,0,0
61,1000,754,155,0,0
76,1000,732,153,0,0
91,1000,740,152,0,0
107,1000,739,154,0,0
122,1000,740,152,0,0
137,1000,747,154,0,0
152,1000,735,153,0,0
168,1000,741,154,0,0
183,1000,735,153,0,0
198,2000,702,153,0,0
213,2000,776,157,0,0
229,2000,913,195,0,0
244,2000,887,200,0,0
259,2000,891,211,0,0
275,2000,905,219,0,0
290,2000,906,226,0,0
305,2000,884,234,0,0
320,2000,891,238,0,0
336,2000,898,239,0,0
351,2000,891,240,0,0
366,2000,891,240,0,0
381,3000,876,239,0,0
397,3000,878,240,0,0
412,3000,976,279,0,0
427,3000,959,295,0,0
443,3000,963,304,0,0
458,3000,950,312,0,0
473,3000,962,322,0,0
488,3000,977,328,0,0
504,3000,960,331,0,0
519,3000,956,330,0,0
534,3000,959,331,0,0
550,3000,959,332,0,0
565,3000,961,331,0,0
580,3000,970,331,0,0
595,3000,965,332,0,0
611,3000,961,331,0,0
626,3000,967,330,0,0
641,3000,974,332,0,0
657,3000,964,331,0,0
672,3000,975,331,0,0
687,3000,986,330,0,0
702,3000,986,330,0,0
718,3000,963,331,0,0
733,3000,963,331,0,0
